Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,US-2020-000005,05/02/2020,05/05/2020,Standard Class,CG-17944,Carlos Harris,Consumer,United States,Montgomery,Alabama,24322,South,FUR-CH-3296,Furniture,Chairs,Office Star Chair,2094.4,5,0.2,-294.8
13,US-2020-000005,05/02/2020,05/05/2020,Standard Class,CG-95477,Mike Wilson,Corporate,United States,San Francisco,California,31798,West,OFF-SU-7570,Office Supplies,Supplies,Acme Stapler,690.87,3,0.15,-80.32
14,US-2020-000005,05/02/2020,05/02/2020,Same Day,CG-65444,Quinn Garcia,Consumer,United States,Atlanta,Georgia,48890,South,FUR-BO-1936,Furniture,Bookcases,Bush Westfield Bookcase,496.55,8,0.3,74.95
15,US-2021-000006,11/06/2021,11/10/2021,Standard Class,CG-18981,Greg Anderson,Consumer,United States,Las Vegas,Nevada,62923,West,TEC-AC-2343,Technology,Accessories,Logitech Wireless Mouse,8536.35,9,0.1,4339.87
16,US-2021-000007,03/21/2021,03/25/2021,Second Class,CG-69929,Carlos Davis,Corporate,United States,Milwaukee,Wisconsin,11220,Central,TEC-PH-9808,Technology,Phones,Cisco IP Phone,2703.75,5,0.0,1234.58
17,US-2021-000007,03/21/2021,03/26/2021,Second Class,CG-81200,Julia Allen,Home Office,United States,Indianapolis,Indiana,97538,Central,OFF-ST-5333,Office Supplies,Storage,Fellowes Banker Box,50.96,2,0.3,-11.98
18,US-2020-000008,12/03/2020,12/07/2020,Second Class,CG-76244,Oscar Lewis,Home Office,United States,Charlotte,North Carolina,22097,South,OFF-PA-1058,Office Supplies,Paper,Xerox Multipurpose Paper,288.99,3,0.05,-3.39
19,US-2020-000008,12/03/2020,12/06/2020,Standard Class,CG-19862,Greg Davis,Home Office,United States,Richmond,Virginia,58393,East,TEC-AC-3088,Technology,Accessories,Targus Laptop Bag,684.9,6,0.0,297.45
20,US-2020-000008,12/03/2020,12/06/2020,First Class,CG-63264,Diana Jackson,Corporate,United States,Philadelphia,Pennsylvania,33206,East,FUR-CH-7745,Furniture,Chairs,Bretford Folding Chair,3680.76,4,0.05,-629.38
21,US-2020-000008,12/03/2020,12/03/2020,Same Day,CG-36158,Quinn Jackson,Consumer,United States,Raleigh,North Carolina,39831,South,FUR-CH-6378,Furniture,Chairs,Office Star Chair,676.34,2,0.05,-40.49
22,US-2020-000008,12/03/2020,12/04/2020,First Class,CG-25118,Sean Miller,Consumer,United States,Naperville,Illinois,44795,Central,FUR-FU-6139,Furniture,Furnishings,Dana Mirror,4865.22,9,0.0,-185.57
23,US-2022-000009,12/22/2022,12/22/2022,Same Day,CG-78146,Nina Anderson,Home Office,United States,Cambridge,Massachusetts,19171,East,OFF-EN-3041,Office Supplies,Envelopes,Tyvek Envelopes,757.72,5,0.3,-86.48
24,US-2022-000009,12/22/2022,12/25/2022,First Class,CG-26683,Nina Hall,Home Office,United States,Trenton,New Jersey,59695,East,TEC-AC-7653,Technology,Accessories,Kensington Laptop Lock,1305.64,1,0.05,50.16
25,US-2022-000009,12/22/2022,12/24/2022,First Class,CG-67905,Hannah Moore,Corporate,United States,Birmingham,Alabama,77000,South,TEC-AC-5649,Technology,Accessories,Logitech Wireless Mouse,7760.88,6,0.0,2964.46
26,US-2020-000010,02/12/2020,02/14/2020,Second Class,CG-16057,Aaron Brown,Corporate,United States,Trenton,New Jersey,19545,East,OFF-BI-7291,Office Supplies,Binders,Wilson Jones Binder,597.28,4,0.0,155.79
27,US-2020-000010,02/12/2020,02/15/2020,Second Class,CG-77889,Rachel Harris,Corporate,United States,Orlando,Florida,25906,South,FUR-FU-8251,Furniture,Furnishings,Dana Mirror,5713.02,9,0.15,1390.03
28,US-2020-000010,02/12/2020,02/12/2020,Same Day,CG-43972,Ken Lewis,Home Office,United States,Rockville,Maryland,46347,East,OFF-BI-8206,Office Supplies,Binders,Avery Binder,125.45,5,0.0,6.2
29,US-2019-000011,11/05/2019,11/10/2019,Second Class,CG-30028,Sean Smith,Corporate,United States,Albany,New York,63424,East,TEC-MA-2020,Technology,Machines,Canon PC Printer,3123.87,7,0.15,1610.24
30,US-2019-000011,11/05/2019,11/05/2019,Same Day,CG-10772,Mike Garcia,Home Office,United States,Cleveland,Ohio,64921,Central,TEC-AC-4595,Technology,Accessories,Targus Laptop Bag,5516.88,8,0.0,566.9
31,US-2019-000011,11/05/2019,11/07/2019,Second Class,CG-61645,Mike Wilson,Corporate,United States,Sacramento,California,27786,West,FUR-BO-7211,Furniture,Bookcases,Bush Westfield Bookcase,2973.6,8,0.1,-212.69
32,US-2019-000011,11/05/2019,11/05/2019,Same Day,CG-20735,Hannah Jones,Consumer,United States,Miami,Florida,55870,South,TEC-PH-1508,Technology,Phones,Cisco IP Phone,9498.12,4,0.0,2411.27
33,US-2019-000011,11/05/2019,11/12/2019,Standard Class,CG-38569,Mike Jackson,Consumer,United States,Montgomery,Alabama,58351,South,TEC-PH-6096,Technology,Phones,AT&T Cordless Phone,265.21,1,0.05,62.61
34,US-2019-000011,11/05/2019,11/07/2019,Second Class,CG-87607,Ken Smith,Home Office,United States,Rochester,New York,99687,East,FUR-BO-9728,Furniture,Bookcases,Bush Westfield Bookcase,3187.2,6,0.0,90.13
35,US-2019-000011,11/05/2019,11/05/2019,Same Day,CG-66822,Carlos Wilson,Corporate,United States,Saint Paul,Minnesota,30052,Central,FUR-TA-8616,Furniture,Tables,Bevis Round Table,2428.29,5,0.1,589.38
36,US-2019-000011,11/05/2019,11/10/2019,Second Class,CG-84691,Ivan Lewis,Corporate,United States,Charlotte,North Carolina,74789,South,FUR-FU-6813,Furniture,Furnishings,Tenex Rug Pad,5491.72,6,0.05,1353.72
37,US-2020-000012,01/27/2020,01/31/2020,Standard Class,CG-63271,Julia Hall,Home Office,United States,Louisville,Kentucky,72402,South,TEC-MA-1282,Technology,Machines,Canon PC Printer,821.78,4,0.15,289.71
38,US-2020-000012,01/27/2020,01/29/2020,First Class,CG-82140,Fiona Miller,Corporate,United States,Cincinnati,Ohio,69473,Central,OFF-PA-2976,Office Supplies,Paper,Xerox Multipurpose Paper,1301.64,6,0.0,401.67
39,US-2021-000013,09/18/2021,09/21/2021,First Class,CG-87278,Beth Lewis,Consumer,United States,Dallas,Texas,48829,Central,OFF-AR-1231,Office Supplies,Art,Prang Coloring Pencils,607.02,3,0.05,-47.9
40,US-2019-000014,09/16/2019,09/16/2019,Same Day,CG-11607,Sean Johnson,Corporate,United States,Grand Rapids,Michigan,67733,Central,FUR-BO-8827,Furniture,Bookcases,Bush Westfield Bookcase,277.92,2,0.15,6.69
41,US-2022-000015,02/26/2022,02/27/2022,First Class,CG-42530,Julia Hall,Home Office,United States,Tucson,Arizona,89471,West,TEC-AC-8381,Technology,Accessories,Targus Laptop Bag,6816.54,5,0.4,3902.7
42,US-2022-000015,02/26/2022,03/02/2022,Standard Class,CG-91987,Beth Davis,Consumer,United States,Springfield,Massachusetts,20641,East,FUR-CH-3564,Furniture,Chairs,Hon Deluxe Chair,159.02,8,0.4,-37.52
43,US-2020-000016,08/02/2020,08/02/2020,Same Day,CG-40595,Julia Allen,Consumer,United States,Milwaukee,Wisconsin,65723,Central,TEC-AC-5352,Technology,Accessories,Belkin USB Hub,4136.62,2,0.0,-174.36
44,US-2020-000016,08/02/2020,08/04/2020,First Class,CG-26299,Aaron Williams,Corporate,United States,Montgomery,Alabama,62757,South,TEC-MA-2317,Technology,Machines,Canon PC Printer,9444.39,7,0.1,2543.84
45,US-2022-000017,10/12/2022,10/17/2022,Standard Class,CG-85529,Priya Thomas,Home Office,United States,Salt Lake City,Utah,71669,West,TEC-MA-3973,Technology,Machines,Brother Fax Machine,13957.38,7,0.2,8372.44
46,US-2022-000017,10/12/2022,10/15/2022,First Class,CG-23710,Mike Clark,Corporate,United States,Cambridge,Massachusetts,74942,East,TEC-MA-8451,Technology,Machines,Hewlett-Packard Laptop,1031.72,5,0.1,-85.58
47,US-2022-000017,10/12/2022,10/19/2022,Standard Class,CG-70552,Oscar Martin,Corporate,United States,Orlando,Florida,77952,South,TEC-MA-1845,Technology,Machines,Canon PC Printer,4651.74,9,0.0,2107.18
48,US-2022-000018,07/14/2022,07/17/2022,Second Class,CG-50730,Nina Martin,Consumer,United States,Tucson,Arizona,22217,West,FUR-FU-3522,Furniture,Furnishings,Eldon Shelf,2145.85,5,0.3,-36.86
49,US-2022-000018,07/14/2022,07/19/2022,Second Class,CG-82255,Quinn Wilson,Home Office,United States,Newark,New Jersey,88561,East,TEC-AC-5526,Technology,Accessories,Logitech Wireless Mouse,12183.95,7,0.1,6190.28
50,US-2022-000018,07/14/2022,07/17/2022,First Class,CG-49132,Hannah Hall,Home Office,United States,New Orleans,Louisiana,68529,South,OFF-EN-9903,Office Supplies,Envelopes,Poly String Envelope,686.46,6,0.0,301.65
51,US-2022-000018,07/14/2022,07/14/2022,Same Day,CG-51704,Oscar Brown,Home Office,United States,Montgomery,Alabama,60604,South,TEC-AC-1606,Technology,Accessories,Targus Laptop Bag,1946.1,6,0.0,813.91
52,US-2022-000018,07/14/2022,07/14/2022,Same Day,CG-28894,Ken Martin,Corporate,United States,New Orleans,Louisiana,19807,South,OFF-EN-7512,Office Supplies,Envelopes,Tyvek Envelopes,821.73,6,0.3,-48.12
53,US-2022-000018,07/14/2022,07/21/2022,Standard Class,CG-18968,Julia Smith,Consumer,United States,Stamford,Connecticut,47667,East,TEC-PH-2612,Technology,Phones,Samsung Galaxy Phone,3045.31,2,0.2,-159.36
54,US-2019-000019,04/25/2019,04/27/2019,First Class,CG-59131,Priya Hall,Corporate,United States,Atlanta,Georgia,79621,South,TEC-AC-3868,Technology,Accessories,Belkin USB Hub,867.85,7,0.4,208.34
55,US-2021-000020,08/02/2021,08/04/2021,First Class,CG-43466,Oscar Moore,Home Office,United States,Provo,Utah,47700,West,TEC-AC-8237,Technology,Accessories,Logitech Wireless Mouse,10045.47,5,0.15,3530.14
56,US-2021-000021,02/26/2021,02/26/2021,Same Day,CG-41091,Julia Davis,Corporate,United States,Lexington,Kentucky,85341,South,TEC-CO-7484,Technology,Copiers,Canon ImageClass Copier,416.08,1,0.4,127.85
57,US-2021-000021,02/26/2021,02/27/2021,First Class,CG-93442,Ethan Williams,Home Office,United States,Virginia Beach,Virginia,98835,East,TEC-AC-1645,Technology,Accessories,Logitech Wireless Mouse,6233.92,8,0.0,1413.37
58,US-2021-000021,02/26/2021,03/01/2021,First Class,CG-64460,Ken Brown,Corporate,United States,Philadelphia,Pennsylvania,80701,East,TEC-CO-5210,Technology,Copiers,Canon ImageClass Copier,17373.45,8,0.05,6131.25
59,US-2021-000021,02/26/2021,03/02/2021,Standard Class,CG-39571,Laura Brown,Corporate,United States,Baton Rouge,Louisiana,21836,South,FUR-TA-8451,Furniture,Tables,Bretford Round Table,1383.75,5,0.4,-439.19
60,US-2021-000021,02/26/2021,02/26/2021,Same Day,CG-91205,Priya Brown,Consumer,United States,Indianapolis,Indiana,94889,Central,TEC-MA-7689,Technology,Machines,Brother Fax Machine,300.52,1,0.0,14.38
61,US-2022-000022,01/05/2022,01/10/2022,Second Class,CG-69459,Laura Miller,Home Office,United States,Saint Paul,Minnesota,86983,Central,TEC-AC-2622,Technology,Accessories,Targus Laptop Bag,13871.24,7,0.05,-1879.69
62,US-2022-000022,01/05/2022,01/09/2022,Second Class,CG-23022,Beth Anderson,Corporate,United States,Fort Wayne,Indiana,17936,Central,OFF-BI-8450,Office Supplies,Binders,GBC Premium Binder,70.37,4,0.4,33.32
63,US-2019-000023,09/15/2019,09/17/2019,Second Class,CG-82641,Diana Smith,Corporate,United States,Richmond,Virginia,40539,East,FUR-BO-3370,Furniture,Bookcases,Bush Westfield Bookcase,10135.26,9,0.05,2018.33
64,US-2021-000024,01/03/2021,01/07/2021,Second Class,CG-12068,Oscar Clark,Home Office,United States,Boston,Massachusetts,26614,East,OFF-AP-2041,Office Supplies,Appliances,Belkin Surge Protector,604.46,6,0.3,66.07
65,US-2022-000025,06/13/2022,06/20/2022,Standard Class,CG-49535,Ken Allen,Corporate,United States,Birmingham,Alabama,17972,South,OFF-FA-2768,Office Supplies,Fasteners,OIC Binder Clips,1184.8,8,0.0,467.52
66,US-2019-000026,09/16/2019,09/19/2019,First Class,CG-92978,Greg White,Corporate,United States,Ann Arbor,Michigan,79541,Central,OFF-AP-8048,Office Supplies,Appliances,Hoover Vacuum,44.18,2,0.3,9.24
67,US-2019-000026,09/16/2019,09/21/2019,Second Class,CG-54424,Carlos Williams,Corporate,United States,Memphis,Tennessee,22463,South,OFF-EN-5176,Office Supplies,Envelopes,Tyvek Envelopes,272.5,3,0.2,-21.49
68,US-2019-000026,09/16/2019,09/17/2019,First Class,CG-82924,Laura Brown,Consumer,United States,Tucson,Arizona,97819,West,OFF-EN-7929,Office Supplies,Envelopes,Tyvek Envelopes,247.66,1,0.05,60.02
69,US-2019-000026,09/16/2019,09/19/2019,Second Class,CG-96079,Rachel Smith,Home Office,United States,Atlanta,Georgia,55890,South,OFF-ST-4705,Office Supplies,Storage,Safco Organizer,1309.77,9,0.4,190.93
70,US-2019-000026,09/16/2019,09/17/2019,First Class,CG-33647,Greg Jackson,Corporate,United States,Saint Paul,Minnesota,54541,Central,FUR-CH-7566,Furniture,Chairs,Global Leather Chair,111.41,1,0.0,17.87
71,US-2019-000026,09/16/2019,09/17/2019,First Class,CG-58503,Nina Martin,Home Office,United States,Saint Paul,Minnesota,84395,Central,FUR-BO-3579,Furniture,Bookcases,O'Sullivan Bookcase,912.69,1,0.0,-91.58
72,US-2019-000026,09/16/2019,09/16/2019,Same Day,CG-38255,Greg Jones,Corporate,United States,Salem,Oregon,24534,West,TEC-MA-1744,Technology,Machines,Brother Fax Machine,559.09,1,0.0,-9.57
73,US-2019-000026,09/16/2019,09/18/2019,First Class,CG-25726,Beth White,Consumer,United States,Colorado Springs,Colorado,33028,West,OFF-AP-4770,Office Supplies,Appliances,Hoover Vacuum,906.48,6,0.0,107.32
74,US-2019-000027,06/09/2019,06/12/2019,First Class,CG-66267,Diana Davis,Consumer,United States,Montgomery,Alabama,47947,South,OFF-LA-3815,Office Supplies,Labels,Self-Adhesive Labels,1733.69,8,0.1,-99.26
75,US-2019-000027,06/09/2019,06/09/2019,Same Day,CG-61873,Ethan Davis,Corporate,United States,Saint Paul,Minnesota,39041,Central,FUR-BO-9693,Furniture,Bookcases,Sauder Classic Bookcase,3383.86,6,0.1,564.2
76,US-2020-000028,06/08/2020,06/11/2020,Second Class,CG-88957,Carlos Martin,Consumer,United States,Rockville,Maryland,19876,East,TEC-MA-8354,Technology,Machines,Canon PC Printer,9212.51,6,0.1,-531.03
77,US-2020-000028,06/08/2020,06/10/2020,First Class,CG-87518,Carlos Allen,Corporate,United States,Eugene,Oregon,19724,West,OFF-SU-1932,Office Supplies,Supplies,Acme Stapler,559.4,5,0.0,142.4
78,US-2020-000028,06/08/2020,06/08/2020,Same Day,CG-86064,Fiona Johnson,Home Office,United States,Denver,Colorado,52143,West,OFF-AP-2013,Office Supplies,Appliances,Belkin Surge Protector,817.56,6,0.0,145.12
79,US-2021-000029,06/15/2021,06/15/2021,Same Day,CG-57696,Tina Jones,Corporate,United States,Cleveland,Ohio,63578,Central,TEC-PH-2079,Technology,Phones,Motorola Smartphone,6356.61,9,0.15,259.47
80,US-2022-000030,04/08/2022,04/12/2022,Second Class,CG-50662,Nina Clark,Corporate,United States,Augusta,Georgia,21104,South,TEC-MA-3093,Technology,Machines,Brother Fax Machine,15107.31,9,0.0,4077.71
81,US-2022-000030,04/08/2022,04/10/2022,First Class,CG-33627,Quinn Johnson,Consumer,United States,Cambridge,Massachusetts,35166,East,FUR-CH-5846,Furniture,Chairs,Hon Deluxe Chair,1425.17,2,0.3,48.82
82,US-2022-000030,04/08/2022,04/13/2022,Second Class,CG-30218,Oscar Davis,Consumer,United States,Harrisburg,Pennsylvania,91885,East,TEC-MA-7731,Technology,Machines,Hewlett-Packard Laptop,2934.75,4,0.2,905.69
83,US-2022-000030,04/08/2022,04/10/2022,First Class,CG-35430,Ivan Johnson,Corporate,United States,Saint Paul,Minnesota,70513,Central,OFF-AP-7859,Office Supplies,Appliances,Hoover Vacuum,695.88,4,0.4,-201.67
84,US-2022-000030,04/08/2022,04/11/2022,First Class,CG-23446,Aaron White,Corporate,United States,Portland,Oregon,31012,West,OFF-AP-8167,Office Supplies,Appliances,Belkin Surge Protector,93.86,4,0.2,45.35
85,US-2021-000031,10/25/2021,10/26/2021,First Class,CG-60615,Priya Harris,Corporate,United States,Portland,Oregon,13694,West,FUR-TA-3254,Furniture,Tables,Chromcraft Table,598.48,8,0.0,100.16
86,US-2021-000031,10/25/2021,10/28/2021,Standard Class,CG-43544,Tina Harris,Home Office,United States,Baltimore,Maryland,81932,East,TEC-MA-5720,Technology,Machines,Hewlett-Packard Laptop,1203.44,2,0.0,6.0
87,US-2021-000032,10/20/2021,10/27/2021,Standard Class,CG-85372,Carlos Clark,Corporate,United States,Hartford,Connecticut,48177,East,FUR-TA-7825,Furniture,Tables,Chromcraft Table,348.82,2,0.3,67.8
88,US-2021-000032,10/20/2021,10/26/2021,Standard Class,CG-71621,Ken Jones,Corporate,United States,Reno,Nevada,58929,West,TEC-PH-2106,Technology,Phones,Motorola Smartphone,1042.27,2,0.4,308.98
89,US-2022-000033,01/23/2022,01/26/2022,First Class,CG-32949,Ken Moore,Consumer,United States,Montgomery,Alabama,92802,South,FUR-BO-1605,Furniture,Bookcases,Hon Bookcase,373.33,1,0.0,88.55
90,US-2022-000033,01/23/2022,01/23/2022,Same Day,CG-14799,Mike Anderson,Home Office,United States,Cambridge,Massachusetts,16265,East,OFF-PA-7029,Office Supplies,Paper,Xerox Multipurpose Paper,740.38,7,0.2,362.83
91,US-2022-000033,01/23/2022,01/23/2022,Same Day,CG-58148,Julia Harris,Consumer,United States,Milwaukee,Wisconsin,65640,Central,OFF-AR-5813,Office Supplies,Art,Fiskars Scissors,175.9,2,0.1,51.5
92,US-2022-000033,01/23/2022,01/23/2022,Same Day,CG-68183,Fiona Smith,Home Office,United States,Detroit,Michigan,56210,Central,OFF-PA-1939,Office Supplies,Paper,Hammermill Paper,153.47,7,0.1,31.07
93,US-2022-000034,05/29/2022,05/29/2022,Same Day,CG-26545,Carlos Hall,Corporate,United States,Spokane,Washington,58015,West,OFF-LA-3513,Office Supplies,Labels,Avery Round Labels,1103.54,6,0.1,176.77
94,US-2021-000035,01/21/2021,01/21/2021,Same Day,CG-95139,Tina Moore,Home Office,United States,Chicago,Illinois,13396,Central,FUR-FU-2929,Furniture,Furnishings,Howard Miller Clock,1345.12,5,0.2,-221.92
95,US-2021-000035,01/21/2021,01/21/2021,Same Day,CG-26074,Julia Garcia,Consumer,United States,Baltimore,Maryland,69250,East,TEC-MA-6236,Technology,Machines,Hewlett-Packard Laptop,2342.09,2,0.3,175.36
96,US-2021-000035,01/21/2021,01/25/2021,Second Class,CG-76683,Carlos Williams,Consumer,United States,Buffalo,New York,28202,East,OFF-LA-7044,Office Supplies,Labels,Self-Adhesive Labels,1271.61,9,0.0,300.83
97,US-2021-000036,09/07/2021,09/07/2021,Same Day,CG-85353,Ethan White,Consumer,United States,Tacoma,Washington,94192,West,OFF-SU-9476,Office Supplies,Supplies,Sanford Highlighters,565.22,9,0.4,-141.23
98,US-2021-000036,09/07/2021,09/10/2021,Standard Class,CG-77908,Rachel Wilson,Corporate,United States,Boston,Massachusetts,31229,East,TEC-AC-9501,Technology,Accessories,Kensington Laptop Lock,4252.9,2,0.05,-100.3
99,US-2020-000037,09/12/2020,09/19/2020,Standard Class,CG-94015,Sean Wilson,Consumer,United States,Arlington,Virginia,30210,East,TEC-CO-1674,Technology,Copiers,Brother Copier,2064.84,1,0.0,-248.71
100,US-2020-000037,09/12/2020,09/12/2020,Same Day,CG-75278,Priya Harris,Consumer,United States,Saint Paul,Minnesota,73300,Central,TEC-MA-8430,Technology,Machines,Brother Fax Machine,191.7,1,0.0,26.02
101,US-2022-000038,05/27/2022,05/31/2022,Second Class,CG-51853,Diana Johnson,Home Office,United States,Detroit,Michigan,58567,Central,TEC-PH-4960,Technology,Phones,Motorola Smartphone,4686.08,5,0.2,65.3
102,US-2021-000039,02/25/2021,02/25/2021,Same Day,CG-30932,Mike Clark,Consumer,United States,Fort Wayne,Indiana,34881,Central,OFF-AP-9171,Office Supplies,Appliances,Hamilton Beach Toaster,2111.68,8,0.0,-106.58
103,US-2021-000039,02/25/2021,02/28/2021,Second Class,CG-86460,Ivan Thomas,Corporate,United States,Houston,Texas,46877,Central,TEC-MA-9793,Technology,Machines,Brother Fax Machine,51.61,2,0.15,-3.82
104,US-2021-000039,02/25/2021,02/26/2021,First Class,CG-62505,Tina Allen,Home Office,United States,Phoenix,Arizona,57516,West,OFF-ST-9261,Office Supplies,Storage,Safco Organizer,1164.6,9,0.05,433.87
105,US-2019-000040,07/18/2019,07/18/2019,Same Day,CG-54444,Ethan Allen,Home Office,United States,Milwaukee,Wisconsin,36090,Central,TEC-MA-1742,Technology,Machines,Hewlett-Packard Laptop,513.12,6,0.2,120.31
106,US-2019-000040,07/18/2019,07/22/2019,Second Class,CG-90356,Laura Anderson,Home Office,United States,Springfield,Illinois,90805,Central,OFF-EN-9351,Office Supplies,Envelopes,Tyvek Envelopes,642.56,5,0.2,280.05
107,US-2019-000040,07/18/2019,07/18/2019,Same Day,CG-92478,Hannah Johnson,Home Office,United States,Tucson,Arizona,44803,West,TEC-AC-8871,Technology,Accessories,Logitech Wireless Mouse,3042.06,7,0.0,1168.39
108,US-2019-000040,07/18/2019,07/22/2019,Standard Class,CG-12482,Quinn Miller,Corporate,United States,Raleigh,North Carolina,29848,South,TEC-AC-9221,Technology,Accessories,Targus Laptop Bag,15517.44,8,0.0,4791.07
109,US-2019-000040,07/18/2019,07/18/2019,Same Day,CG-51124,Hannah Moore,Home Office,United States,Trenton,New Jersey,54869,East,OFF-PA-8932,Office Supplies,Paper,Hammermill Paper,225.3,4,0.05,49.08
110,US-2019-000040,07/18/2019,07/23/2019,Second Class,CG-51555,Carlos Thomas,Corporate,United States,Durham,North Carolina,45842,South,FUR-FU-6654,Furniture,Furnishings,Howard Miller Clock,3268.64,3,0.05,-780.56
111,US-2019-000040,07/18/2019,07/21/2019,First Class,CG-72793,Quinn Davis,Home Office,United States,Harrisburg,Pennsylvania,45537,East,TEC-CO-2789,Technology,Copiers,Canon ImageClass Copier,6172.16,4,0.0,-722.16
112,US-2019-000040,07/18/2019,07/21/2019,Standard Class,CG-64172,Julia Anderson,Home Office,United States,Saint Paul,Minnesota,23178,Central,FUR-BO-7666,Furniture,Bookcases,O'Sullivan Bookcase,5080.83,8,0.2,684.62
113,US-2019-000041,05/02/2019,05/09/2019,Standard Class,CG-40437,Diana Anderson,Consumer,United States,Tacoma,Washington,33040,West,OFF-SU-5742,Office Supplies,Supplies,Acme Stapler,250.11,1,0.05,55.91
114,US-2022-000042,08/06/2022,08/06/2022,Same Day,CG-76088,Greg Garcia,Corporate,United States,Charlotte,North Carolina,24764,South,FUR-FU-4050,Furniture,Furnishings,Dana Mirror,264.94,6,0.05,17.37
115,US-2022-000042,08/06/2022,08/06/2022,Same Day,CG-77538,Oscar Wilson,Consumer,United States,San Antonio,Texas,97720,Central,FUR-CH-6301,Furniture,Chairs,Office Star Chair,1068.67,1,0.05,-43.91
116,US-2022-000042,08/06/2022,08/09/2022,First Class,CG-85088,Julia Brown,Home Office,United States,Eugene,Oregon,57127,West,FUR-BO-8625,Furniture,Bookcases,Sauder Classic Bookcase,1905.9,7,0.3,293.26
117,US-2022-000042,08/06/2022,08/08/2022,First Class,CG-90560,Tina Williams,Consumer,United States,Philadelphia,Pennsylvania,72676,East,OFF-EN-9998,Office Supplies,Envelopes,Poly String Envelope,2466.09,9,0.0,786.74
118,US-2022-000042,08/06/2022,08/07/2022,First Class,CG-83946,Quinn Harris,Home Office,United States,San Francisco,California,85065,West,FUR-CH-9525,Furniture,Chairs,Bretford Folding Chair,1312.68,4,0.4,-286.92
119,US-2022-000042,08/06/2022,08/06/2022,Same Day,CG-77272,Beth White,Home Office,United States,Knoxville,Tennessee,17567,South,OFF-PA-1356,Office Supplies,Paper,Hammermill Paper,119.99,1,0.0,26.17
120,US-2019-000043,05/11/2019,05/14/2019,Standard Class,CG-71875,Rachel Jones,Consumer,United States,Salem,Oregon,33590,West,TEC-MA-7266,Technology,Machines,Brother Fax Machine,6704.82,7,0.15,-771.74
121,US-2019-000043,05/11/2019,05/12/2019,First Class,CG-33392,Laura Jones,Consumer,United States,Louisville,Kentucky,39188,South,FUR-TA-9920,Furniture,Tables,Bevis Round Table,3683.61,7,0.0,-419.45
122,US-2019-000044,08/20/2019,08/26/2019,Standard Class,CG-90599,Rachel Miller,Consumer,United States,Seattle,Washington,18819,West,TEC-PH-1797,Technology,Phones,Samsung Galaxy Phone,526.48,1,0.15,83.82
